Provider Number,Provider Name,Address,City,Phone_Number,ZipCode,Service Area,Supervisory District,Programs/Services,Provider Classification,Age Group Served,Language/Cultures,Operation,Operation Hours,Walk-In-Hours
7589,ASC TREATMENT GROUP - ANNE SIPPI CLINIC,2057 S. ATLANTIC BLVD.,COMMERCE,(562) 906-1335,90040,7,1,"INSTITUTION OF MENTAL DISEASE (IMD) STEP DOWN, MENTAL HEALTH SERVICES* (MHS), MEDICATION SUPPORT",24 HOUR/RESIDENTIAL,ADULT,"ENGLISH, SPANISH",NGA,24 HOURS,BY REFERRAL ONLY
7837,TELECARE,9901 ARTESIA BLVD.,BELLFLOWER,(562) 485-3385,90706,7,4,"INSTITUTION OF MENTAL DISEASE (IMD) STEP DOWN, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS)",24 HOUR/RESIDENTIAL,ADULT,"ENGLISH, SPANISH",NGA,24 HOURS,BY REFERRAL ONLY
7722,CHCADA - CLIENT RUN WELLNESS CENTER,10012 NORWALK BLVD.,SANTA FE SPRINGS,(562) 941-2537,90670,7,4,COMMUNITY OUTREACH SERVICES,COMMUNITY OUTREACH,ADULT/OLDER ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM,MON - FRI 8:30 AM - 5:00 PM
7018,MENTAL HEALTH AMERICA,"6055 E. WASHINGTON BLVD., SUITE 900",COMMERCE,(888) 242-2522,90040,7,1,COMMUNITY OUTREACH SERVICES,COMMUNITY OUTREACH,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7572,LOS PADRENOS JUVENILE HALL - PROVIDENCE COMMUNITY SERVICES,21520 SOUTH PIONEER BLVD. STE. 110,HAWAIIAN GARDENS,(562) 865-3644,90716,7,4,MENTAL HEALTH SERVICES* (MHS),JUVENILE JUSTICE,CHILD/TAY,"ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7166,LOS PADRINOS JUVENILE HALL MENTAL HEALTH UNIT,7285 EAST QUILL DR.,DOWNEY,(562) 940-6077,90241,7,4,MENTAL HEALTH SERVICES* (MHS),JUVENILE JUSTICE,CHILD/TAY,"ARABIC, CAMBODIAN, CANTONESE, ENGLISH, SPANISH, VIETNAMESE",DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7300,DOROTHY KIRBY,1500 S. MCDONNELL AVE.,COMMERCE,(323) 981-4301,90040,7,1,MENTAL HEALTH SERVICES* (MHS),JUVENILE JUSTICE,CHILD/TAY,"ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7697,LOS PADRINOS JUVENILE HALL - PACIFIC CLINICS,7285 EAST QUILL DR.,DOWNEY,(562) 940-8681,90242,7,4,MENTAL HEALTH SERVICES* (MHS),JUVENILE JUSTICE,CHILD/TAY,"ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7806,ALMA FAMILY SERVICES,6971 BANDINI BLVD,COMMERCE,(323) 888-2163,90040,7,1,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7849,HELPLINE YOUTH COUNSELING INC.,11949 E. 215TH ST.,HAWAIIAN GARDENS,(562) 941-1575,90716,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7660,CRITTENTON SERVICES FOR CHILDREN & FAMILIES,"12440 FIRESTONE BLVD., SUITE 215",NORWALK,(714) 680-9000,90650,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7863,ALMA FAMILY SERVICES,"149 MEDNIK AVE., SUITE 208",LOS ANGELES,(323) 780-7300,90022,7,1,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH/LATINO",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7800,"SOUTHERN CALIFORNIA ALCOHOL AND DRUG PROGRAM, INC.",11500 PARAMOUNT BLVD.,DOWNEY,(562) 448-,90241,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7813,RIO HONDO CENTRO DE BIENESTAR,2677 ZOE AVE. STE. 301,HUNTINGTON PARK,(323) 403-8108,90255,7,4,"MENTAL HEALTH SERVICES* (MHS), WELLNESS CENTER",OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH/LATINO",DMH,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
7912,THE WHOLE CHILD - BIRTH TO FIVE CENTER,12225 BEVERLY BLVD.,WHITTIER,(562) 692-0383,90601,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7886,THE WHOLE CHILD,12417 PHILADELPHIA ST.,WHITTIER,(562) 692-0383,90601,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7896,PACIFIC CLINICS - WHITTIER FAMILY CENTER,9829 CARMENITA RD. SUITE H.,WHITTIER,(877) 722-2737,90605,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7888,JWCH INSTITUTE-NORWALK REGIONAL HEALTH CENTER,12360 FIRESTONE BLVD.,NORWALK,(562) 867-7999,90650,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
7647,ADULT TELECARE LA SERVICES (ATLAS),"12440 FIRESTONE BLVD., SUITE 3020",NORWALK,(562) 864-7821,90650,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7902,PACIFIC CLINICS - CENTRO FAMILIA,"11731 TELEGRAPH RD. SUITES B, E & G.",SANTA FE SPRINGS,(877) 722-2737,90670,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7903,PACIFIC CLINICS - EL CAMINO,11741 TELEGRAPH RD.,SANTA FE SPRINGS,(877) 722-2737,90670,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7830,JWCH WESLEY HEALTH CENTERS,CLARK AVE.,BELLFLOWER,(562) 867-7999,90706,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
7269,OLIVE CREST TREATMENT CENTERS-WRAPAROUND,15235 COMUTA AVE.,BELLFLOWER,(714) 543-5437,90706,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7824,SCHARP - BELLFLOWER,14371 CLARK AVE.,BELLFLOWER,(310) 631-8004,90706,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7718,MASADA HOMES,10000 FLOWER ST.,BELLFLOWER,(866) 662-7232,90706,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7852,MASADA HOMES,21409 ELAINE AVE.,HAWAIIAN GARDENS,(866) 662-7232,90716,7,4,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7637,ST. FRANCIS MEDICAL CENTER-CHILD COUNSELING CENTER,4390 TWEEDY BLVD.,SOUTH GATE,(310) 603-6949; FAX: (310) 566 - 4984,90280,7,1,"FULL SERVICE PARTERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,"MON, TUES 10:00 AM - 7:00 PM; WED - FRI 10:00 AM - 6:00 PM",CONTACT PROVIDER
7638,CHCADA,9033 WASHINGTON BLVD.,PICO RIVERA,(323) 222-4591,90660,7,1,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH/LATINO",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7511,PENNY LANE: COMMERCE,5628 E. SLAUSON AVE.,COMMERCE,(323) 318 -9960 ; FAX: (323) 780 - 3211,90040,7,1,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION AND EARLY INTERVENTION (PEI), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - THURS 8:00 AM - 6:00 PM,9:00 AM - 5:00 PM
7468,SAN ANTONIO MENTAL HEALTH CENTER,2629 CLARENDON AVE. 2ND FL.,HUNTINGTON PARK,(323) 584-3700,90255,7,1,"COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), OUTPATIENT, PREVENTION & EARLY INTERVENTION (PEI), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",DMH,MON & THURS 8:00 AM - 5:00 PM; FRI 8:00 AM - 4:00 PM,MON - FRI 8:00 AM - 12:00 PM
7667,ALMANSOR CLINICAL SERVICES,5900 EASTERN AVE.,COMMERCE,(323) 622-0715,90040,7,1,"CO-OCCURRING DISORDERS COUNSELING, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, HUNGARIAN, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, SPANISH, SWEDISH, TAGALOG, VIETNAMESE",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7616,SPECIALIZED FOSTER CARE PROGRAM-COMMERCE,5835 SOUTH EASTERN AVE.,COMMERCE,(323) 725-4629,90040,7,1,"MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:30 PM,BY REFERRAL ONLY
6857,ROYBAL FAMILY MENTAL HEALTH CENTER,4701 CESAR CHAVEZ AVE. 2ND FL.,LOS ANGELES,(323) 767-6400,90022,7,1,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), OUTPATIENT, PREVENTION & EARLY INTERVENTION (PEI), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ENGLISH, CANTONESE SPANISH",DMH,MON - WED 8:00 AM - 6:30 PM; THURS 8:00 AM  - 7:30 PM; FRI 8:00 AM - 5:30 PM,MON - FRI 8:00 AM - 12:00 PM
7360,ENKI-MARGARITA MENDEZ YOUTH AND FAMILY SERVICES,1000 GOODRICH BLVD.,COMMERCE,(323) 832-9765,90022,7,1,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), GROUP THERAPY, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,ENGLISH,NGA,MON 9:00 AM - 6:00 PM; TUES - THURS 9:00 AM - 7:00 PM,CONTACT PROVIDER
7381,BIENVENIDOS-EAST LOS ANGELES,110 SOUTH GARFIELD AVE.,MONTEBELLO,(323) 869-9255,90640,7,1,"ASSESSMENT TREATMENT, COMMUNITY LINKAGE, FAMILY COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PCT, SPECIALIZED FOSTER CARE",OUTPATIENT,ADULT/CHILD/TAY,"ARMENIAN, CALO, CEBUANO, ENGLISH, FARSI, FRENCH, JAPANESE, KOREAN, MANDARIN, SPANISH/LATINO, TAGALOG",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7562,ALMA FAMILY SERVICES,4701 EAST CESAR CHAVEZ AVE.,LOS ANGELES,(323) 881-3799,90022,7,1,"FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ENGLISH, ITALIAN, JAPANESE, KOREAN, OTHER CHINESE, PORTUGUESE, SPANISH/LATINO",NGA,MON - FRI 7:30 AM - 6:00 PM,CONTACT PROVIDER
7584,ROYBAL SCHOOL BASED PROGRAM,215 EAST AVENIDA DE LA MERCED,MONTEBELLO,(323) 887-5324,90640,7,1,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",DMH,CONTACT PROVIDER,CONTACT PROVIDER
7617,SPECIALIZED FOSTER CARE PROGRAM-SANTA FE SPRINGS,10355 SLUSHER DR.,SANTA FE SPRINGS,(323) 903-5102,90670,7,4,"CRISIS MANAGEMENT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:30 PM,BY REFERRAL ONLY
7711,PROVIDENCE COMMUNITY SERVICES,11745 FIRESTONE BLVD. STE. 102,NORWALK,(562) 207-4272,90650,7,4,"FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,CHILD/TAY,"ENGLISH, FRENCH, SPANISH",NGA,MON - FRI 9:00 AM - 5:30 PM,CONTACT PROVIDER
7421,AMERICAN INDIAN COUNSELING CENTER,17707 SOUTH STUDEBAKER RD. STE. 208,CERRITOS,(562) 402-0677,90703,7,4,"COMMUNITY OUTREACH, DUAL DIAGNOSIS, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"AMERICAN INDIAN, ARMENIAN, BURMESE, ENGLISH, FARSI, GERMAN, HINDI, KOREAN, MIEN, PUNJABI, SPANISH, TAGALOG, URDU",DMH,MON - FRI 8:00 AM - 6:00 PM,MON - FRI 8:00 AM - 6:00 PM
1930,RIO HONDO COMMUNITY MENTAL HEALTH CENTER,17707 SOUTH STUDEBAKER RD.,CERRITOS,(562) 402-0688,90703,7,4,"CRISIS INTERVENTION, DUAL DIAGNOSIS, FIELD CAPABLE CLINICAL SERVICES (FCCS), GROUP COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/OLDER ADULT,"CANTONESE, ENGLISH, GREEK, KOREAN, HINDI, MANDARIN, MIEN, PUNJABI, SPANISH, TAIWAINESE, TAGALOG, URDU, VIETNAMESE",DMH,MON - FRI 8:00 AM - 6:00 PM,MON & WED 8:00 AM - 9:00 AM
7588,EMERGENCY OUTREACH BUREAU/CRISIS HOMELESS-EAST,17707 SOUTH STUDEBAKER RD.,CERRITOS,(562) 467-0209,90703,7,4,"COMMUNITY OUTREACH, CRISIS INTERVENTION, CRISIS HOMELESS, MENTAL HEALTH SERVICES* (MHS), PROVIDER LINKAGE & REFERRAL, PSYCHIATRIC MOBILE RESPONSE",CRISIS SERVICES,ADULT/CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FARSI, HEBREW, IIOCANO, JAPANESE, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, THAI, UKRANIAN, VIETNAMESE",DMH,MON - FRI 8:00 AM - 5:00 PM,FIELD RESPONSE ONLY
7406,TELECARE HOP 7,12353 IMPERIAL HIGHWAY,NORWALK,(562) 484-3385,90650,7,4,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), HOMELESS SERVICES, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS)",OUTPATIENT,ADULT,"ENGLISH, FARSI, ITALIAN, SPANISH",NGA,MON - FRI 8:00 AM - 4:30 PM,CONTACT PROVIDER
7752,SPECIALIZED FOSTER CARE-SOUTH COUNTY,4060 WATSON PLAZA DR.,LAKEWOOD,(562) 497-3456,90712,7,4,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES* (MHS)",OUTPATIENT,CHILD/TAY,"CATALAN, ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:30 PM,BY REFERRAL ONLY
1972,THE WHOLE CHILD,10155 COLIMA RD.,WHITTIER,(562) 692-0383,90603,7,4,"FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), OUTPATIENT, PREVENTION & EARLY INTERVENTION (PEI), SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, HINDI, MANDARIN, SPANISH, TAGALOG, YIDDISH",NGA,MON - THURS 8:00 AM - 7:00 PM; FRIDAY 8:00 AM - 5:00 PM,CONTACT PROVIDER
7709,ALMA FAMILY SERVICES,4400 ROSEMEAD BLVD. STE. 12,PICO RIVERA,(562) 692-1517,90660,7,1,"FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ENGLISH, ITALIAN, KOREAN, OTHER CHINESE, PORTUGUESE, SPANISH",NGA,MON - FRI 8:30 AM - 5:30 PM,CONTACT PROVIDER
7019,ALMA FAMILY SERVICES,9101 WHITTIER BLVD.,PICO RIVERA,(562) 801-4626,90660,7,1,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ENGLISH, SPANISH/LATINO",NGA,MON - FRI 8:00 AM - 6:00 PM & SAT 8:30 AM - 4:00 PM,CONTACT PROVIDER
7579,ASIAN PACIFIC COUNSELING & TREATMENT CENTER,11050 EAST ARTESIA BLVD. STE. F,CERRITOS,(562) 860-8838,90703,7,4,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT,  MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ASIAN PACIFIC ISLANDER, CALO, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, IIOCANO,  IIONGOT, JAPANESE, KOREAN, LAO, MANDARIN, PORTUGUESE, SPANISH, SWEDISH,  TAIWANESE, TAGALOG, THAI",NGA,MON - FRI 10:00 AM - 6:00 PM,CONTACT PROVIDER
7574,HELPLINE YOUTH COUNSELING INC.,12440 FIRESTONE BLVD. STE. 1000,NORWALK,(562) 864-3722,90650,7,4,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI)",OUTPATIENT,CHILD/TAY,"ENGLISH, HMONG, OTHER CHINESE, SPANISH, TAGALOG",NGA,MON - THURS 8:00 AM  -  8:00 PM; FRI 8:00 AM  -  6:00 PM,CONTACT PROVIDER
7572,PROVIDENCE COMMUNITY SERVICES,21520 SOUTH PIONEER BLVD. STE. 110,HAWAIIAN GARDENS,(562) 865-3644,90716,7,4,"FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MENTAL HEALTH SERVICES* (MHS), PREVENTION AND EARLY INTERVENTION, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARMENIAN, ENGLISH, FRENCH, MANDARIN, SPANISH, SWEDISH",NGA,MON - FRI 9:00 AM - 5:30 PM,CONTACT PROVIDER
7246,FAMILY & YOUTH STARS PROGRAM,10929 SOUTH ST. STE. 214-B,CERRITOS,(562) 865-6444,90703,7,4,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - THURS 8:00 AM - 9:00 PM; FRI 8:30 AM - 4:30 PM,CONTACT PROVIDER
7534,OLIVE CREST TREATMENT CENTERS-WRAPAROUND,17800 WOODRUFF AVE.,BELLFLOWER,(562) 866-8956,90706,7,4,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERIVCES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"ENGLISH, FARSI, ITALIAN, MANDARIN, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7471,COMMUNITY FAMILY GUIDANCE CENTER,8320 IOWA ST. STE. 201,DOWNEY,(562) 904-4815,90241,7,4,"COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH, TAGALOG, URDU",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7589,ANNE SIPPI CLINIC COMMUNITY SERVICES,10012 NORWALK BLVD. STE. 110,SANTA FE SPRINGS,(562) 906-1335,90670,7,4,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS)",OUTPATIENT,ADULT,"CANTONESE, ENGLISH, HINDI, SPANISH",NGA,MON - FRI 8:00 AM - 4:00 PM,CONTACT PROVIDER
7299,COLLEGE HOSPITAL,10802 COLLEGE PLC.,CERRITOS,(562) 924-9581,90703,7,4,"24 HR ACUTE, DAY TREATMENT, MENTAL HEALTH SERVICES* (MHS)",24 HOUR/RESIDENTIAL,ADULT/TAY,"CANTONESE, ENGLISH, FARSI, ITALIAN, KOREAN, MANDARIN, SPANISH, TAIWANESE, TOISAN",NGA,24 HOURS,24 HOURS
1977,COMMUNITY FAMILY GUIDANCE CENTER,10929 SOUTH ST. STE. 208 B,CERRITOS,(562) 927-5526,90703,7,4,"COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), PEI, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - THURS 8:00 AM - 9:00 PM; FRI 8:00 AM - 4:30 PM,CONTACT PROVIDER
7250,TELECARE LOS ANGELES ACT OLDER ADULTS,12440 FIRESTONE BLVD. STE. 3025,NORWALK,(562) 929-6688,90650,7,4,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS)",OUTPATIENT,ADULT/OLDER ADULT,"ENGLISH, FARSI, HINDI, KONKANI, PORTUGUESE, SPANISH",NGA,MON - FRI 8:00 AM - 4:30 PM,CONTACT PROVIDER
7670,HATHAWAY SYCAMORES,5701 SOUTH EASTERN AVE.,COMMERCE,(626) 395-7100,90040,7,1,"FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,CHILD/TAY,"ARMENIAN, ENGLISH, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7851,THE VILLAGE FAMILY SERVICES,2677 ZOE AVE. STE. 110,HUNTINGTON PARK,(818) 755-8786,90255,7,1,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7253,ENKI EAST LOS ANGELES MHS-COMMERCE,1436 GOODRICH BLVD.,COMMERCE,(866) 227-1302,90022,7,1,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), PREVENTION AND EARLY INTERVENTION, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/OLDER ADULT/TAY,"ENGLISH, HEBREW, ITALIAN, RUSSIAN, SINGHALESE, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
